# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "1" "-t" "primary_transcript" "-g" "ID" "-a" "1dt_sample_longest_full_ORF_with_constructs.gff" "-o" "1dt_counts.txt" "1dt_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	1dt_aln.bam
POT1-ccdB_URA3	POT1-ccdB	3632	4656	-	1025	0
YAL001C_tx0	chrI	147469	151191	-	3723	337
YAL002W_tx0	chrI	143682	147656	+	3975	109
YAL003W_id003	chrI	142141	143496	+	1356	5015
YAL004W_id001	chrI	137649	142140	+	4492	6
YAL005C_id002	chrI	139381	141684	-	2304	2961
YAL007C_id002	chrI	137408	138414	-	1007	303
YAL008W_id005	chrI	136815	137718	+	904	220
YAL009W_id001	chrI	135408	136766	+	1359	146
YAL010C_id001	chrI	134001	135688	-	1688	65
YAL011W_id001	chrI	132169	134210	+	2042	227
YAL012W_id002	chrI	130686	132100	+	1415	2416
YAL013W_id001	chrI	129194	130583	+	1390	324
YAL014C_id001	chrI	128031	129072	-	1042	516
YAL015C_id001	chrI	126756	128110	-	1355	159
YAL016W_id001	chrI	124786	126883	+	2098	231
YAL017W_tx0	chrI	120200	124420	+	4221	301
YAL018C_tx0	chrI	118439	119566	-	1128	2
YAL019W_tx0	chrI	114894	118439	+	3546	473
YAL020C_id001	chrI	113468	114624	-	1157	271
YAL021C_id002	chrI	110536	113403	-	2868	652
YAL022C_id001	chrI	108732	110471	-	1740	235
YAL023C_id006	chrI	106143	108671	-	2529	603
YAL024C_tx0	chrI	101440	105897	-	4458	205
YAL025C_id001	chrI	99939	101168	-	1230	285
YAL026C_tx0	chrI	95505	99722	-	4218	567
YAL027W_id001	chrI	94595	95583	+	989	72
YAL028W_id005	chrI	92852	94566	+	1715	144
YAL029C_tx0	chrI	87730	92295	-	4566	383
YAL030W_id002	chrI	87264	88013	+	750	203
YAL031C_id003	chrI	84587	87031	-	2445	205
YAL032C_id008	chrI	83192	84504	-	1313	164
YAL033W_id003	chrI	82701	83397	+	697	209
YAL034C_id002	chrI	80549	82586	-	2038	521
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	93
YAL035W_id001	chrI	76365	79559	+	3195	6348
YAL036C_id004	chrI	74778	76207	-	1430	577
YAL037W_id001	chrI	73453	76400	+	2948	69
YAL038W_id004	chrI	71644	73448	+	1805	8058
YAL039C_id002	chrI	68629	69642	-	1014	610
YAL040C_id003	chrI	65596	67848	-	2253	1093
YAL041W_id003	chrI	62773	65463	+	2691	213
YAL042W_id001	chrI	61269	62680	+	1412	577
YAL043C_id001	chrI	58499	61068	-	2570	199
YAL044C_id002	chrI	57756	58476	-	721	1860
YAL044W-A_id004	chrI	56973	57958	+	986	226
YAL046C_id001	chrI	56907	57544	-	638	107
YAL047C_id001	chrI	54931	56886	-	1956	104
YAL047W-A_id001	chrI	54209	55063	+	855	2
YAL048C_tx0	chrI	52676	54814	-	2139	9
YAL049C_id001	chrI	51691	54082	-	2392	240
YAL051W_tx0	chrI	48539	51832	+	3294	61
YAL053W_id003	chrI	45728	48310	+	2583	276
YAL054C_tx0	chrI	42756	45047	-	2292	39
YAL055W_id003	chrI	42142	42838	+	697	109
YAL056W_id006	chrI	39234	42040	+	2807	321
YAL058W_id001	chrI	37405	39163	+	1759	84
YAL059W_id002	chrI	36466	37344	+	879	92
YAL060W_id014	chrI	35107	36433	+	1327	437
YAL061W_id003	chrI	33345	35018	+	1674	147
YAL062W_id001	chrI	31527	33039	+	1513	105
YAL063C_tx0	chrI	23875	27993	-	4119	23
YAL063C-A_id001	chrI	22051	23617	-	1567	4
YAL064W_tx0	chrI	21541	21975	+	435	2
YAL066W_id001	chrI	9807	10460	+	654	8
YAL067C_tx0	chrI	7110	9041	-	1932	12
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	401
YAR002W_id001	chrI	152215	154114	+	1900	208
YAR003W_id001	chrI	154958	156909	+	1952	122
YAR007C_id002	chrI	156681	158698	-	2018	242
YAR008W_id002	chrI	158847	159916	+	1070	101
YAR014C_id002	chrI	166565	169019	-	2455	303
YAR015W_id003	chrI	169272	170638	+	1367	1617
YAR018C_id002	chrI	170177	171715	-	1539	128
YAR019C_tx0	chrI	172086	175160	-	3075	93
YAR020C_tx0	chrI	176731	177048	-	318	48
YAR023C_id001	chrI	179245	180697	-	1453	20
YAR027W_id001	chrI	183671	184687	+	1017	184
YAR028W_id001	chrI	184832	185977	+	1146	1
YAR029W_id001	chrI	185009	186754	+	1746	32
YAR031W_tx0	chrI	186811	187857	+	1047	79
YAR033W_id001	chrI	188043	189258	+	1216	241
YAR035W_id001	chrI	190156	192365	+	2210	41
YAR042W_id001	chrI	192583	196349	+	3767	680
YAR050W_tx0	chrI	203378	208141	+	4764	57
YAR053W_id001	chrI	208193	209632	+	1440	4
YAR071W_tx0	chrI	225435	226988	+	1554	27
YBL001C_id001	chrII	236907	237698	-	792	733
YBL002W_id001	chrII	235789	237079	+	1291	942
YBL003C_id004	chrII	234898	235856	-	959	1744
YBL004W_tx0	chrII	227611	235242	+	7632	885
YBL005W_tx0	chrII	217445	220525	+	3081	43
YBL006C_id002	chrII	216354	217163	-	810	533
YBL006W-A_id001	chrII	216559	217416	+	858	6
YBL007C_id001	chrII	212467	216436	-	3970	893
YBL008W_id002	chrII	209587	212279	+	2693	83
YBL009W_id002	chrII	207141	209350	+	2210	173
YBL010C_id001	chrII	205803	207017	-	1215	96
YBL011W_id001	chrII	202814	206022	+	3209	495
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	178
YBL015W_id001	chrII	193953	195980	+	2028	319
YBL016W_tx0	chrII	192426	193637	+	1212	383
YBL017C_tx0	chrII	186719	191608	-	4890	754
YBL018C_id005	chrII	185668	186507	-	840	31
YBL019W_id001	chrII	184283	186031	+	1749	65
YBL020W_id005	chrII	182322	184205	+	1884	48
YBL021C_id001	chrII	181490	182524	-	1035	114
YBL022C_id001	chrII	177798	181408	-	3611	567
YBL023C_id001	chrII	174746	177643	-	2898	155
YBL024W_id001	chrII	172504	174868	+	2365	835
YBL025W_id002	chrII	171423	172503	+	1081	92
YBL026W_id001	chrII	170581	171530	+	950	481
YBL027W_id005	chrII	168404	169761	+	1358	13435
YBL028C_id001	chrII	167221	167885	-	665	215
YBL029C-A_id001	chrII	164358	166047	-	1690	127
YBL030C_id009	chrII	162718	164145	-	1428	648
YBL031W_id001	chrII	161665	162887	+	1223	38
YBL032W_id003	chrII	160086	161535	+	1450	382
YBL033C_id001	chrII	158483	159721	-	1239	149
YBL034C_tx0	chrII	153723	158414	-	4692	181
YBL035C_id001	chrII	151364	153703	-	2340	9
YBL036C_id001	chrII	150310	152281	-	1972	357
YBL037W_tx0	chrII	147184	150411	+	3228	119
YBL038W_id001	chrII	146128	147061	+	934	144
YBL039C_id001	chrII	143726	145807	-	2082	14
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	37
YBL040C_id002	chrII	142012	143165	-	1154	412
YBL041W_id015	chrII	141010	142040	+	1031	1044
YBL042C_id005	chrII	138180	140319	-	2140	911
YBL043W_id003	chrII	136557	137655	+	1099	3
YBL045C_id003	chrII	133932	135777	-	1846	517
YBL046W_id001	chrII	132406	133937	+	1532	140
YBL047C_id001	chrII	127672	132169	-	4498	2309
YBL049W_tx0	chrII	126803	127369	+	567	63
YBL050W_id001	chrII	125048	126230	+	1183	317
YBL051C_id004	chrII	122304	124824	-	2521	495
YBL052C_tx0	chrII	119254	121899	-	2646	755
YBL054W_id002	chrII	117412	119359	+	1948	85
YBL055C_id001	chrII	115477	117224	-	1748	100
YBL056W_id003	chrII	113626	115581	+	1956	662
YBL057C_id002	chrII	112277	113442	-	1166	289
YBL058W_id001	chrII	111409	112864	+	1456	455
YBL059C-A_id004	chrII	109917	111201	-	1285	132
YBL060W_id001	chrII	107701	110033	+	2333	53
YBL061C_id001	chrII	105195	107514	-	2320	372
YBL063W_tx0	chrII	101861	105346	+	3486	105
YBL064C_id001	chrII	100306	101420	-	1115	391
YBL066C_tx0	chrII	96544	100140	-	3597	115
YBL067C_tx0	chrII	93514	95907	-	2394	242
YBL068W_id001	chrII	92356	93912	+	1557	153
YBL068W-A_id002	chrII	91120	92228	+	1109	0
YBL069W_id001	chrII	90631	92191	+	1561	2
YBL071C_id001	chrII	89856	90544	-	689	1
YBL071W-A_id001	chrII	89935	90746	+	812	150
YBL072C_id002	chrII	88246	89465	-	1220	7307
YBL074C_id001	chrII	86433	87808	-	1376	3
YBL075C_id001	chrII	84418	86984	-	2567	259
YBL076C_id002	chrII	80947	84307	-	3361	3203
YBL078C_id016	chrII	79897	80775	-	879	361
