# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A14_sample_longest_full_ORF_with_constructs.gff" "-o" "A14_counts.txt" "A14_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A14_aln.bam
pPGK1-mCherry-tRPS3_modA_primary_transcript	pPGK1-mCherry-tRPS3_modA	2099	3538	+	1440	23208
pPGK1-mCherry-tRPS3_modA_URA3	pPGK1-mCherry-tRPS3_modA	4376	5400	-	1025	14605
YAL001C_tx0	chrI	147469	151191	-	3723	177
YAL002W_tx0	chrI	143682	147656	+	3975	40
YAL003W_id003	chrI	142141	143496	+	1356	2245
YAL004W_id001	chrI	137649	142140	+	4492	16
YAL005C_id002	chrI	139381	141684	-	2304	1994
YAL007C_id002	chrI	137408	138414	-	1007	174
YAL008W_id005	chrI	136815	137718	+	904	59
YAL009W_id001	chrI	135408	136766	+	1359	52
YAL010C_id001	chrI	134001	135688	-	1688	12
YAL011W_id001	chrI	132169	134210	+	2042	95
YAL012W_id002	chrI	130686	132100	+	1415	923
YAL013W_id001	chrI	129194	130583	+	1390	73
YAL014C_id001	chrI	128031	129072	-	1042	55
YAL015C_id001	chrI	126756	128110	-	1355	30
YAL016W_id001	chrI	124786	126883	+	2098	128
YAL017W_tx0	chrI	120200	124420	+	4221	286
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	82
YAL020C_id001	chrI	113468	114624	-	1157	55
YAL021C_id002	chrI	110536	113403	-	2868	60
YAL022C_id001	chrI	108732	110471	-	1740	129
YAL023C_id006	chrI	106143	108671	-	2529	229
YAL024C_tx0	chrI	101440	105897	-	4458	13
YAL025C_id001	chrI	99939	101168	-	1230	83
YAL026C_tx0	chrI	95505	99722	-	4218	108
YAL027W_id001	chrI	94595	95583	+	989	29
YAL028W_id005	chrI	92852	94566	+	1715	37
YAL029C_tx0	chrI	87730	92295	-	4566	110
YAL030W_id002	chrI	87264	88013	+	750	265
YAL031C_id003	chrI	84587	87031	-	2445	63
YAL032C_id008	chrI	83192	84504	-	1313	35
YAL033W_id003	chrI	82701	83397	+	697	46
YAL034C_id002	chrI	80549	82586	-	2038	139
YAL034C-B_id001	chrI	79446	79873	-	428	0
