# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A3_sample_longest_full_ORF_with_constructs.gff" "-o" "A3_counts.txt" "A3_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A3_aln.bam
pRPS3-mCherry-tRPS3_modB_primary_transcript	pRPS3-mCherry-tRPS3_modB	2099	3538	+	1440	2484
pRPS3-mCherry-tRPS3_modB_URA3	pRPS3-mCherry-tRPS3_modB	4376	5400	-	1025	9102
YAL001C_tx0	chrI	147469	151191	-	3723	174
YAL002W_tx0	chrI	143682	147656	+	3975	28
YAL003W_id003	chrI	142141	143496	+	1356	2878
YAL004W_id001	chrI	137649	142140	+	4492	8
YAL005C_id002	chrI	139381	141684	-	2304	3985
YAL007C_id002	chrI	137408	138414	-	1007	192
YAL008W_id005	chrI	136815	137718	+	904	95
YAL009W_id001	chrI	135408	136766	+	1359	41
YAL010C_id001	chrI	134001	135688	-	1688	13
YAL011W_id001	chrI	132169	134210	+	2042	80
YAL012W_id002	chrI	130686	132100	+	1415	1157
YAL013W_id001	chrI	129194	130583	+	1390	63
YAL014C_id001	chrI	128031	129072	-	1042	85
YAL015C_id001	chrI	126756	128110	-	1355	41
YAL016W_id001	chrI	124786	126883	+	2098	139
YAL017W_tx0	chrI	120200	124420	+	4221	205
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	87
YAL020C_id001	chrI	113468	114624	-	1157	45
YAL021C_id002	chrI	110536	113403	-	2868	83
YAL022C_id001	chrI	108732	110471	-	1740	120
YAL023C_id006	chrI	106143	108671	-	2529	272
YAL024C_tx0	chrI	101440	105897	-	4458	14
YAL025C_id001	chrI	99939	101168	-	1230	112
YAL026C_tx0	chrI	95505	99722	-	4218	89
YAL027W_id001	chrI	94595	95583	+	989	32
YAL028W_id005	chrI	92852	94566	+	1715	28
YAL029C_tx0	chrI	87730	92295	-	4566	128
YAL030W_id002	chrI	87264	88013	+	750	253
YAL031C_id003	chrI	84587	87031	-	2445	65
YAL032C_id008	chrI	83192	84504	-	1313	23
YAL033W_id003	chrI	82701	83397	+	697	53
YAL034C_id002	chrI	80549	82586	-	2038	103
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	23
YAL035W_id001	chrI	76365	79559	+	3195	1699
YAL036C_id004	chrI	74778	76207	-	1430	320
YAL037W_id001	chrI	73453	76400	+	2948	15
YAL038W_id004	chrI	71644	73448	+	1805	15576
YAL039C_id002	chrI	68629	69642	-	1014	45
YAL040C_id003	chrI	65596	67848	-	2253	101
YAL041W_id003	chrI	62773	65463	+	2691	141
YAL042W_id001	chrI	61269	62680	+	1412	326
YAL043C_id001	chrI	58499	61068	-	2570	48
YAL044C_id002	chrI	57756	58476	-	721	475
YAL044W-A_id004	chrI	56973	57958	+	986	103
YAL046C_id001	chrI	56907	57544	-	638	112
YAL047C_id001	chrI	54931	56886	-	1956	18
YAL047W-A_id001	chrI	54209	55063	+	855	1
YAL048C_tx0	chrI	52676	54814	-	2139	1
YAL049C_id001	chrI	51691	54082	-	2392	127
YAL051W_tx0	chrI	48539	51832	+	3294	26
YAL053W_id003	chrI	45728	48310	+	2583	85
YAL054C_tx0	chrI	42756	45047	-	2292	41
YAL055W_id003	chrI	42142	42838	+	697	63
YAL056W_id006	chrI	39234	42040	+	2807	155
YAL058W_id001	chrI	37405	39163	+	1759	44
YAL059W_id002	chrI	36466	37344	+	879	117
YAL060W_id014	chrI	35107	36433	+	1327	631
YAL061W_id003	chrI	33345	35018	+	1674	54
YAL062W_id001	chrI	31527	33039	+	1513	24
YAL063C_tx0	chrI	23875	27993	-	4119	12
YAL063C-A_id001	chrI	22051	23617	-	1567	6
YAL064W_tx0	chrI	21541	21975	+	435	0
YAL066W_id001	chrI	9807	10460	+	654	4
YAL067C_tx0	chrI	7110	9041	-	1932	3
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	632
YAR002W_id001	chrI	152215	154114	+	1900	138
YAR003W_id001	chrI	154958	156909	+	1952	49
YAR007C_id002	chrI	156681	158698	-	2018	89
YAR008W_id002	chrI	158847	159916	+	1070	76
YAR014C_id002	chrI	166565	169019	-	2455	75
YAR015W_id003	chrI	169272	170638	+	1367	514
YAR018C_id002	chrI	170177	171715	-	1539	41
YAR019C_tx0	chrI	172086	175160	-	3075	23
YAR020C_tx0	chrI	176731	177048	-	318	5
YAR023C_id001	chrI	179245	180697	-	1453	7
YAR027W_id001	chrI	183671	184687	+	1017	214
YAR028W_id001	chrI	184832	185977	+	1146	0
YAR029W_id001	chrI	185009	186754	+	1746	15
YAR031W_tx0	chrI	186811	187857	+	1047	21
YAR033W_id001	chrI	188043	189258	+	1216	28
YAR035W_id001	chrI	190156	192365	+	2210	46
YAR042W_id001	chrI	192583	196349	+	3767	112
YAR050W_tx0	chrI	203378	208141	+	4764	49
YAR053W_id001	chrI	208193	209632	+	1440	5
YAR071W_tx0	chrI	225435	226988	+	1554	30
YBL001C_id001	chrII	236907	237698	-	792	542
YBL002W_id001	chrII	235789	237079	+	1291	1064
YBL003C_id004	chrII	234898	235856	-	959	1843
YBL004W_tx0	chrII	227611	235242	+	7632	286
YBL005W_tx0	chrII	217445	220525	+	3081	11
YBL006C_id002	chrII	216354	217163	-	810	60
YBL006W-A_id001	chrII	216559	217416	+	858	0
YBL007C_id001	chrII	212467	216436	-	3970	416
YBL008W_id002	chrII	209587	212279	+	2693	86
YBL009W_id002	chrII	207141	209350	+	2210	29
YBL010C_id001	chrII	205803	207017	-	1215	18
YBL011W_id001	chrII	202814	206022	+	3209	205
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	72
YBL015W_id001	chrII	193953	195980	+	2028	127
YBL016W_tx0	chrII	192426	193637	+	1212	38
YBL017C_tx0	chrII	186719	191608	-	4890	174
YBL018C_id005	chrII	185668	186507	-	840	30
YBL019W_id001	chrII	184283	186031	+	1749	39
YBL020W_id005	chrII	182322	184205	+	1884	62
YBL021C_id001	chrII	181490	182524	-	1035	80
YBL022C_id001	chrII	177798	181408	-	3611	234
YBL023C_id001	chrII	174746	177643	-	2898	77
YBL024W_id001	chrII	172504	174868	+	2365	251
YBL025W_id002	chrII	171423	172503	+	1081	18
YBL026W_id001	chrII	170581	171530	+	950	168
YBL027W_id005	chrII	168404	169761	+	1358	4202
YBL028C_id001	chrII	167221	167885	-	665	229
YBL029C-A_id001	chrII	164358	166047	-	1690	86
YBL030C_id009	chrII	162718	164145	-	1428	682
YBL031W_id001	chrII	161665	162887	+	1223	7
YBL032W_id003	chrII	160086	161535	+	1450	191
YBL033C_id001	chrII	158483	159721	-	1239	53
YBL034C_tx0	chrII	153723	158414	-	4692	20
YBL035C_id001	chrII	151364	153703	-	2340	2
YBL036C_id001	chrII	150310	152281	-	1972	117
YBL037W_tx0	chrII	147184	150411	+	3228	32
YBL038W_id001	chrII	146128	147061	+	934	63
YBL039C_id001	chrII	143726	145807	-	2082	10
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	60
YBL040C_id002	chrII	142012	143165	-	1154	198
YBL041W_id015	chrII	141010	142040	+	1031	241
YBL042C_id005	chrII	138180	140319	-	2140	210
YBL043W_id003	chrII	136557	137655	+	1099	2
YBL045C_id003	chrII	133932	135777	-	1846	288
YBL046W_id001	chrII	132406	133937	+	1532	18
YBL047C_id001	chrII	127672	132169	-	4498	377
YBL049W_tx0	chrII	126803	127369	+	567	14
YBL050W_id001	chrII	125048	126230	+	1183	174
YBL051C_id004	chrII	122304	124824	-	2521	85
YBL052C_tx0	chrII	119254	121899	-	2646	106
YBL054W_id002	chrII	117412	119359	+	1948	68
YBL055C_id001	chrII	115477	117224	-	1748	47
YBL056W_id003	chrII	113626	115581	+	1956	483
YBL057C_id002	chrII	112277	113442	-	1166	174
YBL058W_id001	chrII	111409	112864	+	1456	180
YBL059C-A_id004	chrII	109917	111201	-	1285	73
YBL060W_id001	chrII	107701	110033	+	2333	15
YBL061C_id001	chrII	105195	107514	-	2320	103
YBL063W_tx0	chrII	101861	105346	+	3486	12
YBL064C_id001	chrII	100306	101420	-	1115	137
YBL066C_tx0	chrII	96544	100140	-	3597	13
YBL067C_tx0	chrII	93514	95907	-	2394	122
YBL068W_id001	chrII	92356	93912	+	1557	61
YBL068W-A_id002	chrII	91120	92228	+	1109	0
YBL069W_id001	chrII	90631	92191	+	1561	0
YBL071C_id001	chrII	89856	90544	-	689	1
YBL071W-A_id001	chrII	89935	90746	+	812	26
YBL072C_id002	chrII	88246	89465	-	1220	3407
YBL074C_id001	chrII	86433	87808	-	1376	2
YBL075C_id001	chrII	84418	86984	-	2567	67
YBL076C_id002	chrII	80947	84307	-	3361	774
YBL078C_id016	chrII	79897	80775	-	879	206
YBL079W_tx0	chrII	75234	79892	+	4659	159
YBL080C_id001	chrII	72946	74748	-	1803	13
YBL081W_id001	chrII	71317	73109	+	1793	173
YBL082C_id003	chrII	69715	71173	-	1459	0
YBL083C_id001	chrII	69698	71093	-	1396	2
YBL084C_tx0	chrII	67044	69470	-	2427	37
YBL085W_id001	chrII	63674	66938	+	3265	46
YBL086C_id001	chrII	61142	62726	-	1585	49
YBL087C_id001	chrII	59593	60845	-	1253	8287
YBL088C_tx0	chrII	50894	59407	-	8514	88
YBL089W_id004	chrII	49558	51234	+	1677	42
YBL090W_id003	chrII	48785	49577	+	793	99
YBL091C_id001	chrII	47010	48636	-	1627	445
YBL091C-A_id001	chrII	46322	47185	-	864	36
YBL092W_id001	chrII	45281	46514	+	1234	5518
YBL093C_id002	chrII	43818	44998	-	1181	155
YBL095W_id003	chrII	43277	44341	+	1065	43
YBL096C_id001	chrII	43132	44042	-	911	0
YBL097W_tx0	chrII	40806	43220	+	2415	34
YBL098W_tx0	chrII	39120	40652	+	1533	4
YBL099W_id002	chrII	36702	38982	+	2281	1676
YBL101C_id001	chrII	24777	28406	-	3630	121
YBL102W_id001	chrII	23879	24938	+	1060	171
YBL103C_id001	chrII	21573	23790	-	2218	62
YBL104C_id001	chrII	18076	21318	-	3243	59
YBL105C_id002	chrII	14104	17962	-	3859	124
YBL106C_tx0	chrII	10722	13904	-	3183	27
YBL107C_id002	chrII	9730	10551	-	822	74
YBL108C-A_tx0	chrII	7480	7758	-	279	0
YBL111C_tx0	chrII	2782	5034	-	2253	0
YBR001C_id003	chrII	238783	241433	-	2651	55
YBR002C_id002	chrII	241456	242584	-	1129	81
YBR003W_id007	chrII	242780	244364	+	1585	113
YBR004C_id001	chrII	244272	246715	-	2444	64
YBR005W_id004	chrII	245842	246920	+	1079	48
YBR006W_id002	chrII	246879	248649	+	1771	87
YBR007C_id001	chrII	248623	251106	-	2484	41
YBR008C_id005	chrII	252403	254835	-	2433	55
YBR009C_id002	chrII	255209	256209	-	1001	2276
YBR010W_id001	chrII	256303	257098	+	796	1242
YBR011C_id002	chrII	256892	258006	-	1115	2261
YBR012C_id001	chrII	258941	259571	-	631	21
YBR014C_id008	chrII	266601	267515	-	915	82
YBR015C_id002	chrII	267569	269912	-	2344	457
YBR016W_id001	chrII	269749	270846	+	1098	217
YBR017C_id002	chrII	270760	273772	-	3013	192
YBR018C_tx0	chrII	274302	275552	-	1251	0
YBR019C_tx0	chrII	276128	278377	-	2250	4
YBR020W_tx0	chrII	278996	280732	+	1737	14
YBR021W_id011	chrII	281307	283531	+	2225	53
YBR022W_id002	chrII	283490	284400	+	911	31
YBR023C_id001	chrII	284226	288054	-	3829	209
YBR024W_id004	chrII	289106	290455	+	1350	103
YBR025C_id001	chrII	289931	291896	-	1966	3430
YBR026C_id006	chrII	292747	294102	-	1356	106
YBR028C_id007	chrII	294249	296062	-	1814	96
YBR029C_id003	chrII	296227	297853	-	1627	71
YBR030W_id001	chrII	298020	300071	+	2052	47
YBR031W_id001	chrII	300145	301451	+	1307	2729
YBR034C_id001	chrII	304383	306037	-	1655	249
YBR035C_id001	chrII	306136	307334	-	1199	346
YBR036C_id001	chrII	308745	310355	-	1611	198
YBR037C_id005	chrII	310492	311512	-	1021	91
YBR038W_id003	chrII	311857	314979	+	3123	279
YBR039W_id001	chrII	315484	316949	+	1466	264
YBR040W_tx0	chrII	316943	317989	+	1047	2
YBR041W_id001	chrII	318157	320417	+	2261	129
YBR042C_id002	chrII	320279	321656	-	1378	58
YBR043C_id001	chrII	321721	324094	-	2374	43
YBR044C_id001	chrII	324265	326142	-	1878	35
YBR045C_tx0	chrII	328048	330117	-	2070	5
YBR046C_id001	chrII	330073	331552	-	1480	53
YBR047W_id001	chrII	331288	332494	+	1207	6
YBR048W_id005	chrII	332816	334238	+	1423	3688
YBR049C_id003	chrII	334140	336967	-	2828	123
YBR050C_id001	chrII	337145	338460	-	1316	14
YBR052C_id004	chrII	338532	339423	-	892	192
YBR053C_id001	chrII	339332	340763	-	1432	57
YBR054W_id001	chrII	342781	344584	+	1804	593
YBR055C_id001	chrII	344489	347322	-	2834	82
YBR056W_id008	chrII	347809	349433	+	1625	225
YBR056W-A_id003	chrII	351095	351881	+	787	37
YBR057C_id002	chrII	352055	353405	-	1351	50
YBR058C_id002	chrII	353656	356091	-	2436	14
YBR058C-A_id007	chrII	356079	356625	-	547	184
YBR059C_id004	chrII	356762	360234	-	3473	191
YBR060C_id001	chrII	360589	362638	-	2050	42
YBR061C_id003	chrII	364175	365726	-	1552	39
YBR062C_id003	chrII	365896	366673	-	778	119
YBR063C_id001	chrII	366913	369557	-	2645	18
YBR065C_id001	chrII	367999	369713	-	1715	0
YBR066C_id001	chrII	369932	371004	-	1073	51
YBR067C_id001	chrII	371965	373120	-	1156	2332
YBR068C_id002	chrII	373642	375767	-	2126	790
YBR069C_id006	chrII	376414	378602	-	2189	277
YBR070C_id002	chrII	379101	379980	-	880	75
YBR071W_id001	chrII	380195	381322	+	1128	57
YBR072W_id001	chrII	381848	382838	+	991	107
YBR073W_tx0	chrII	383087	386113	+	3027	116
YBR074W_id001	chrII	386281	389331	+	3051	83
YBR076C-A_id001	chrII	390129	391670	-	1542	58
YBR076W_tx0	chrII	390202	391416	+	1215	0
YBR077C_id001	chrII	391588	392834	-	1247	60
YBR078W_id003	chrII	392947	395384	+	2438	3114
YBR079C_id003	chrII	395231	398302	-	3072	615
YBR080C_id002	chrII	398464	400926	-	2463	213
YBR081C_tx0	chrII	401128	405276	-	4149	144
YBR082C_id002	chrII	406101	407208	-	1108	643
YBR083W_id002	chrII	408947	410708	+	1762	43
YBR084C-A_id004	chrII	414063	415462	-	1400	3277
YBR084W_id002	chrII	410992	414180	+	3189	404
YBR085C-A_id001	chrII	418530	419738	-	1209	788
YBR085W_id001	chrII	415428	417068	+	1641	44
YBR086C_id001	chrII	420076	423360	-	3285	429
YBR087W_id001	chrII	423602	424879	+	1278	111
YBR088C_id002	chrII	424790	425809	-	1020	220
YBR089C-A_id001	chrII	425946	426921	-	976	359
YBR089W_id001	chrII	425028	426037	+	1010	1
YBR091C_id001	chrII	426969	427525	-	557	68
YBR092C_id001	chrII	427647	430844	-	3198	293
YBR093C_id001	chrII	429492	431417	-	1926	1
YBR094W_id001	chrII	431970	434419	+	2450	39
YBR095C_id001	chrII	434314	435772	-	1459	70
YBR096W_id002	chrII	435960	436876	+	917	103
YBR097W_tx0	chrII	436926	441440	+	4515	69
YBR098W_id002	chrII	441495	443742	+	2248	7
YBR101C_id003	chrII	442980	444743	-	1764	102
YBR102C_id003	chrII	444928	447358	-	2431	33
YBR103W_id001	chrII	447496	449378	+	1883	96
YBR104W_id002	chrII	449557	451125	+	1569	105
YBR105C_id002	chrII	450721	452105	-	1385	154
YBR106W_id003	chrII	452652	453825	+	1174	1494
YBR107C_id005	chrII	453227	454579	-	1353	29
YBR108W_id001	chrII	454743	457862	+	3120	65
YBR109C_id006	chrII	457579	458407	-	829	525
YBR109W-A_id001	chrII	458498	459155	+	658	0
YBR110W_id001	chrII	458614	460347	+	1734	113
YBR111C_id001	chrII	461107	462146	-	1040	276
YBR111W-A_id005	chrII	462105	462757	+	653	33
YBR112C_id001	chrII	462616	465945	-	3330	175
YBR114W_id002	chrII	467160	469792	+	2633	35
YBR115C_id001	chrII	469611	473945	-	4335	244
YBR117C_tx0	chrII	474267	476462	-	2196	33
YBR118W_id002	chrII	477464	479148	+	1685	27573
