# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "B13_sample_longest_full_ORF_with_constructs.gff" "-o" "B13_counts.txt" "B13_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	B13_aln.bam
pPGK1-mCherry-tRPS3_mod0_primary_transcript	pPGK1-mCherry-tRPS3_mod0	2099	3538	+	1440	9793
pPGK1-mCherry-tRPS3_mod0_URA3	pPGK1-mCherry-tRPS3_mod0	4376	5400	-	1025	7063
YAL001C_tx0	chrI	147469	151191	-	3723	172
YAL002W_tx0	chrI	143682	147656	+	3975	23
YAL003W_id003	chrI	142141	143496	+	1356	2547
YAL004W_id001	chrI	137649	142140	+	4492	14
YAL005C_id002	chrI	139381	141684	-	2304	3645
YAL007C_id002	chrI	137408	138414	-	1007	188
YAL008W_id005	chrI	136815	137718	+	904	79
YAL009W_id001	chrI	135408	136766	+	1359	47
YAL010C_id001	chrI	134001	135688	-	1688	13
YAL011W_id001	chrI	132169	134210	+	2042	76
YAL012W_id002	chrI	130686	132100	+	1415	988
YAL013W_id001	chrI	129194	130583	+	1390	76
YAL014C_id001	chrI	128031	129072	-	1042	66
YAL015C_id001	chrI	126756	128110	-	1355	35
YAL016W_id001	chrI	124786	126883	+	2098	132
YAL017W_tx0	chrI	120200	124420	+	4221	217
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	65
YAL020C_id001	chrI	113468	114624	-	1157	49
YAL021C_id002	chrI	110536	113403	-	2868	89
YAL022C_id001	chrI	108732	110471	-	1740	120
YAL023C_id006	chrI	106143	108671	-	2529	285
YAL024C_tx0	chrI	101440	105897	-	4458	12
YAL025C_id001	chrI	99939	101168	-	1230	109
YAL026C_tx0	chrI	95505	99722	-	4218	82
YAL027W_id001	chrI	94595	95583	+	989	31
YAL028W_id005	chrI	92852	94566	+	1715	32
YAL029C_tx0	chrI	87730	92295	-	4566	94
YAL030W_id002	chrI	87264	88013	+	750	256
YAL031C_id003	chrI	84587	87031	-	2445	86
YAL032C_id008	chrI	83192	84504	-	1313	31
YAL033W_id003	chrI	82701	83397	+	697	40
YAL034C_id002	chrI	80549	82586	-	2038	125
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	23
YAL035W_id001	chrI	76365	79559	+	3195	1654
YAL036C_id004	chrI	74778	76207	-	1430	289
YAL037W_id001	chrI	73453	76400	+	2948	13
YAL038W_id004	chrI	71644	73448	+	1805	5643
YAL039C_id002	chrI	68629	69642	-	1014	43
YAL040C_id003	chrI	65596	67848	-	2253	95
