# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "WD_C14_sample_longest_full_ORF_with_constructs.gff" "-o" "WD_C14_counts.txt" "WD_C14_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	WD_C14_aln.bam
pHSP26-mCherry-tHSP26_primary_transcript	pHSP26-mCherry-tHSP26	2099	3511	+	1413	803
pHSP26-mCherry-tHSP26_URA3	pHSP26-mCherry-tHSP26	4349	5373	-	1025	15330
YAL001C_tx0	chrI	147469	151191	-	3723	291
YAL002W_tx0	chrI	143682	147656	+	3975	113
YAL003W_id003	chrI	142141	143496	+	1356	10441
YAL004W_id001	chrI	137649	142140	+	4492	32
YAL005C_id002	chrI	139381	141684	-	2304	2634
YAL007C_id002	chrI	137408	138414	-	1007	398
YAL008W_id005	chrI	136815	137718	+	904	128
YAL009W_id001	chrI	135408	136766	+	1359	204
YAL010C_id001	chrI	134001	135688	-	1688	60
YAL011W_id001	chrI	132169	134210	+	2042	267
YAL012W_id002	chrI	130686	132100	+	1415	5366
YAL013W_id001	chrI	129194	130583	+	1390	467
YAL014C_id001	chrI	128031	129072	-	1042	253
YAL015C_id001	chrI	126756	128110	-	1355	214
YAL016W_id001	chrI	124786	126883	+	2098	319
YAL017W_tx0	chrI	120200	124420	+	4221	683
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	87
YAL020C_id001	chrI	113468	114624	-	1157	529
YAL021C_id002	chrI	110536	113403	-	2868	745
YAL022C_id001	chrI	108732	110471	-	1740	1154
YAL023C_id006	chrI	106143	108671	-	2529	1095
YAL024C_tx0	chrI	101440	105897	-	4458	54
YAL025C_id001	chrI	99939	101168	-	1230	787
YAL026C_tx0	chrI	95505	99722	-	4218	210
YAL027W_id001	chrI	94595	95583	+	989	115
YAL028W_id005	chrI	92852	94566	+	1715	75
YAL029C_tx0	chrI	87730	92295	-	4566	291
YAL030W_id002	chrI	87264	88013	+	750	958
YAL031C_id003	chrI	84587	87031	-	2445	153
YAL032C_id008	chrI	83192	84504	-	1313	93
YAL033W_id003	chrI	82701	83397	+	697	210
YAL034C_id002	chrI	80549	82586	-	2038	444
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	47
YAL035W_id001	chrI	76365	79559	+	3195	5476
YAL036C_id004	chrI	74778	76207	-	1430	1003
YAL037W_id001	chrI	73453	76400	+	2948	91
YAL038W_id004	chrI	71644	73448	+	1805	9675
YAL039C_id002	chrI	68629	69642	-	1014	430
YAL040C_id003	chrI	65596	67848	-	2253	228
YAL041W_id003	chrI	62773	65463	+	2691	485
YAL042W_id001	chrI	61269	62680	+	1412	1356
