# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "B6_sample_longest_full_ORF_with_constructs.gff" "-o" "B6_counts.txt" "B6_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	B6_aln.bam
pTSA1-mCherry-tTSA1_mod0_primary_transcript	pTSA1-mCherry-tTSA1_mod0	2099	3316	+	1218	13566
pTSA1-mCherry-tTSA1_mod0_URA3	pTSA1-mCherry-tTSA1_mod0	4154	5178	-	1025	5786
YAL001C_tx0	chrI	147469	151191	-	3723	231
YAL002W_tx0	chrI	143682	147656	+	3975	53
YAL003W_id003	chrI	142141	143496	+	1356	7060
YAL004W_id001	chrI	137649	142140	+	4492	17
YAL005C_id002	chrI	139381	141684	-	2304	9826
YAL007C_id002	chrI	137408	138414	-	1007	471
YAL008W_id005	chrI	136815	137718	+	904	127
YAL009W_id001	chrI	135408	136766	+	1359	87
YAL010C_id001	chrI	134001	135688	-	1688	33
YAL011W_id001	chrI	132169	134210	+	2042	159
YAL012W_id002	chrI	130686	132100	+	1415	1950
YAL013W_id001	chrI	129194	130583	+	1390	113
YAL014C_id001	chrI	128031	129072	-	1042	89
YAL015C_id001	chrI	126756	128110	-	1355	61
YAL016W_id001	chrI	124786	126883	+	2098	251
YAL017W_tx0	chrI	120200	124420	+	4221	224
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	176
YAL020C_id001	chrI	113468	114624	-	1157	81
YAL021C_id002	chrI	110536	113403	-	2868	125
YAL022C_id001	chrI	108732	110471	-	1740	184
YAL023C_id006	chrI	106143	108671	-	2529	594
YAL024C_tx0	chrI	101440	105897	-	4458	36
YAL025C_id001	chrI	99939	101168	-	1230	445
YAL026C_tx0	chrI	95505	99722	-	4218	182
YAL027W_id001	chrI	94595	95583	+	989	38
YAL028W_id005	chrI	92852	94566	+	1715	21
YAL029C_tx0	chrI	87730	92295	-	4566	203
YAL030W_id002	chrI	87264	88013	+	750	439
YAL031C_id003	chrI	84587	87031	-	2445	75
YAL032C_id008	chrI	83192	84504	-	1313	48
YAL033W_id003	chrI	82701	83397	+	697	96
YAL034C_id002	chrI	80549	82586	-	2038	124
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	57
YAL035W_id001	chrI	76365	79559	+	3195	3668
YAL036C_id004	chrI	74778	76207	-	1430	771
YAL037W_id001	chrI	73453	76400	+	2948	19
YAL038W_id004	chrI	71644	73448	+	1805	26317
YAL039C_id002	chrI	68629	69642	-	1014	67
YAL040C_id003	chrI	65596	67848	-	2253	153
YAL041W_id003	chrI	62773	65463	+	2691	240
YAL042W_id001	chrI	61269	62680	+	1412	607
YAL043C_id001	chrI	58499	61068	-	2570	103
YAL044C_id002	chrI	57756	58476	-	721	992
YAL044W-A_id004	chrI	56973	57958	+	986	241
YAL046C_id001	chrI	56907	57544	-	638	286
YAL047C_id001	chrI	54931	56886	-	1956	46
YAL047W-A_id001	chrI	54209	55063	+	855	3
YAL048C_tx0	chrI	52676	54814	-	2139	2
YAL049C_id001	chrI	51691	54082	-	2392	286
YAL051W_tx0	chrI	48539	51832	+	3294	71
YAL053W_id003	chrI	45728	48310	+	2583	195
YAL054C_tx0	chrI	42756	45047	-	2292	52
YAL055W_id003	chrI	42142	42838	+	697	126
YAL056W_id006	chrI	39234	42040	+	2807	216
YAL058W_id001	chrI	37405	39163	+	1759	125
YAL059W_id002	chrI	36466	37344	+	879	303
YAL060W_id014	chrI	35107	36433	+	1327	616
YAL061W_id003	chrI	33345	35018	+	1674	52
YAL062W_id001	chrI	31527	33039	+	1513	19
YAL063C_tx0	chrI	23875	27993	-	4119	12
YAL063C-A_id001	chrI	22051	23617	-	1567	20
YAL064W_tx0	chrI	21541	21975	+	435	1
YAL066W_id001	chrI	9807	10460	+	654	11
YAL067C_tx0	chrI	7110	9041	-	1932	3
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	1299
