# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A12_sample_longest_full_ORF_with_constructs.gff" "-o" "A12_counts.txt" "A12_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A12_aln.bam
pPGK1-mCherry-tRPS3_WT_primary_transcript	pPGK1-mCherry-tRPS3_WT	2099	3511	+	1413	43313
pPGK1-mCherry-tRPS3_WT_URA3	pPGK1-mCherry-tRPS3_WT	4349	5373	-	1025	19620
YAL001C_tx0	chrI	147469	151191	-	3723	280
YAL002W_tx0	chrI	143682	147656	+	3975	60
YAL003W_id003	chrI	142141	143496	+	1356	3868
YAL004W_id001	chrI	137649	142140	+	4492	18
YAL005C_id002	chrI	139381	141684	-	2304	2318
YAL007C_id002	chrI	137408	138414	-	1007	254
YAL008W_id005	chrI	136815	137718	+	904	108
YAL009W_id001	chrI	135408	136766	+	1359	88
YAL010C_id001	chrI	134001	135688	-	1688	28
YAL011W_id001	chrI	132169	134210	+	2042	149
YAL012W_id002	chrI	130686	132100	+	1415	1558
YAL013W_id001	chrI	129194	130583	+	1390	128
YAL014C_id001	chrI	128031	129072	-	1042	71
YAL015C_id001	chrI	126756	128110	-	1355	54
YAL016W_id001	chrI	124786	126883	+	2098	209
YAL017W_tx0	chrI	120200	124420	+	4221	388
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	123
YAL020C_id001	chrI	113468	114624	-	1157	85
YAL021C_id002	chrI	110536	113403	-	2868	104
YAL022C_id001	chrI	108732	110471	-	1740	185
YAL023C_id006	chrI	106143	108671	-	2529	477
YAL024C_tx0	chrI	101440	105897	-	4458	13
YAL025C_id001	chrI	99939	101168	-	1230	195
YAL026C_tx0	chrI	95505	99722	-	4218	150
YAL027W_id001	chrI	94595	95583	+	989	52
YAL028W_id005	chrI	92852	94566	+	1715	64
YAL029C_tx0	chrI	87730	92295	-	4566	148
YAL030W_id002	chrI	87264	88013	+	750	397
YAL031C_id003	chrI	84587	87031	-	2445	71
YAL032C_id008	chrI	83192	84504	-	1313	44
YAL033W_id003	chrI	82701	83397	+	697	80
YAL034C_id002	chrI	80549	82586	-	2038	234
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	34
YAL035W_id001	chrI	76365	79559	+	3195	3135
YAL036C_id004	chrI	74778	76207	-	1430	513
YAL037W_id001	chrI	73453	76400	+	2948	9
YAL038W_id004	chrI	71644	73448	+	1805	3769
YAL039C_id002	chrI	68629	69642	-	1014	78
YAL040C_id003	chrI	65596	67848	-	2253	129
YAL041W_id003	chrI	62773	65463	+	2691	328
YAL042W_id001	chrI	61269	62680	+	1412	352
YAL043C_id001	chrI	58499	61068	-	2570	86
YAL044C_id002	chrI	57756	58476	-	721	954
YAL044W-A_id004	chrI	56973	57958	+	986	165
YAL046C_id001	chrI	56907	57544	-	638	145
YAL047C_id001	chrI	54931	56886	-	1956	28
YAL047W-A_id001	chrI	54209	55063	+	855	6
YAL048C_tx0	chrI	52676	54814	-	2139	1
YAL049C_id001	chrI	51691	54082	-	2392	126
YAL051W_tx0	chrI	48539	51832	+	3294	42
YAL053W_id003	chrI	45728	48310	+	2583	221
