# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "WD_C11_sample_longest_full_ORF_with_constructs.gff" "-o" "WD_C11_counts.txt" "WD_C11_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	WD_C11_aln.bam
pRPS13-mCherry-tHSP26_primary_transcript	pRPS13-mCherry-tHSP26	2099	3357	+	1259	48493
pRPS13-mCherry-tHSP26_URA3	pRPS13-mCherry-tHSP26	4195	5219	-	1025	38384
YAL001C_tx0	chrI	147469	151191	-	3723	216
YAL002W_tx0	chrI	143682	147656	+	3975	118
YAL003W_id003	chrI	142141	143496	+	1356	10349
YAL004W_id001	chrI	137649	142140	+	4492	36
YAL005C_id002	chrI	139381	141684	-	2304	3240
YAL007C_id002	chrI	137408	138414	-	1007	259
YAL008W_id005	chrI	136815	137718	+	904	135
YAL009W_id001	chrI	135408	136766	+	1359	286
YAL010C_id001	chrI	134001	135688	-	1688	53
YAL011W_id001	chrI	132169	134210	+	2042	216
YAL012W_id002	chrI	130686	132100	+	1415	4837
YAL013W_id001	chrI	129194	130583	+	1390	363
YAL014C_id001	chrI	128031	129072	-	1042	237
YAL015C_id001	chrI	126756	128110	-	1355	206
YAL016W_id001	chrI	124786	126883	+	2098	377
YAL017W_tx0	chrI	120200	124420	+	4221	592
YAL018C_tx0	chrI	118439	119566	-	1128	3
YAL019W_tx0	chrI	114894	118439	+	3546	61
YAL020C_id001	chrI	113468	114624	-	1157	479
YAL021C_id002	chrI	110536	113403	-	2868	549
YAL022C_id001	chrI	108732	110471	-	1740	1186
YAL023C_id006	chrI	106143	108671	-	2529	1081
YAL024C_tx0	chrI	101440	105897	-	4458	37
YAL025C_id001	chrI	99939	101168	-	1230	734
YAL026C_tx0	chrI	95505	99722	-	4218	173
YAL027W_id001	chrI	94595	95583	+	989	95
YAL028W_id005	chrI	92852	94566	+	1715	54
YAL029C_tx0	chrI	87730	92295	-	4566	310
YAL030W_id002	chrI	87264	88013	+	750	732
YAL031C_id003	chrI	84587	87031	-	2445	107
YAL032C_id008	chrI	83192	84504	-	1313	108
YAL033W_id003	chrI	82701	83397	+	697	214
YAL034C_id002	chrI	80549	82586	-	2038	425
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	68
YAL035W_id001	chrI	76365	79559	+	3195	5291
YAL036C_id004	chrI	74778	76207	-	1430	1035
YAL037W_id001	chrI	73453	76400	+	2948	68
YAL038W_id004	chrI	71644	73448	+	1805	9049
YAL039C_id002	chrI	68629	69642	-	1014	390
YAL040C_id003	chrI	65596	67848	-	2253	124
YAL041W_id003	chrI	62773	65463	+	2691	569
YAL042W_id001	chrI	61269	62680	+	1412	1673
YAL043C_id001	chrI	58499	61068	-	2570	235
YAL044C_id002	chrI	57756	58476	-	721	4000
YAL044W-A_id004	chrI	56973	57958	+	986	508
YAL046C_id001	chrI	56907	57544	-	638	660
YAL047C_id001	chrI	54931	56886	-	1956	57
YAL047W-A_id001	chrI	54209	55063	+	855	6
YAL048C_tx0	chrI	52676	54814	-	2139	0
YAL049C_id001	chrI	51691	54082	-	2392	377
YAL051W_tx0	chrI	48539	51832	+	3294	85
YAL053W_id003	chrI	45728	48310	+	2583	518
YAL054C_tx0	chrI	42756	45047	-	2292	94
YAL055W_id003	chrI	42142	42838	+	697	121
YAL056W_id006	chrI	39234	42040	+	2807	405
YAL058W_id001	chrI	37405	39163	+	1759	245
YAL059W_id002	chrI	36466	37344	+	879	541
YAL060W_id014	chrI	35107	36433	+	1327	1184
YAL061W_id003	chrI	33345	35018	+	1674	84
YAL062W_id001	chrI	31527	33039	+	1513	131
YAL063C_tx0	chrI	23875	27993	-	4119	29
YAL063C-A_id001	chrI	22051	23617	-	1567	21
YAL064W_tx0	chrI	21541	21975	+	435	9
YAL066W_id001	chrI	9807	10460	+	654	25
YAL067C_tx0	chrI	7110	9041	-	1932	5
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	1049
YAR002W_id001	chrI	152215	154114	+	1900	767
YAR003W_id001	chrI	154958	156909	+	1952	179
YAR007C_id002	chrI	156681	158698	-	2018	406
YAR008W_id002	chrI	158847	159916	+	1070	394
YAR014C_id002	chrI	166565	169019	-	2455	181
YAR015W_id003	chrI	169272	170638	+	1367	1394
YAR018C_id002	chrI	170177	171715	-	1539	229
YAR019C_tx0	chrI	172086	175160	-	3075	130
YAR020C_tx0	chrI	176731	177048	-	318	5
YAR023C_id001	chrI	179245	180697	-	1453	34
YAR027W_id001	chrI	183671	184687	+	1017	567
YAR028W_id001	chrI	184832	185977	+	1146	1
YAR029W_id001	chrI	185009	186754	+	1746	77
YAR031W_tx0	chrI	186811	187857	+	1047	124
YAR033W_id001	chrI	188043	189258	+	1216	79
YAR035W_id001	chrI	190156	192365	+	2210	119
YAR042W_id001	chrI	192583	196349	+	3767	258
YAR050W_tx0	chrI	203378	208141	+	4764	122
YAR053W_id001	chrI	208193	209632	+	1440	5
YAR071W_tx0	chrI	225435	226988	+	1554	146
YBL001C_id001	chrII	236907	237698	-	792	1731
YBL002W_id001	chrII	235789	237079	+	1291	3478
YBL003C_id004	chrII	234898	235856	-	959	5974
YBL004W_tx0	chrII	227611	235242	+	7632	1041
YBL005W_tx0	chrII	217445	220525	+	3081	50
YBL006C_id002	chrII	216354	217163	-	810	427
YBL006W-A_id001	chrII	216559	217416	+	858	2
YBL007C_id001	chrII	212467	216436	-	3970	1080
YBL008W_id002	chrII	209587	212279	+	2693	445
YBL009W_id002	chrII	207141	209350	+	2210	163
YBL010C_id001	chrII	205803	207017	-	1215	65
YBL011W_id001	chrII	202814	206022	+	3209	1451
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	653
YBL015W_id001	chrII	193953	195980	+	2028	157
YBL016W_tx0	chrII	192426	193637	+	1212	273
YBL017C_tx0	chrII	186719	191608	-	4890	666
YBL018C_id005	chrII	185668	186507	-	840	152
YBL019W_id001	chrII	184283	186031	+	1749	162
YBL020W_id005	chrII	182322	184205	+	1884	227
YBL021C_id001	chrII	181490	182524	-	1035	612
YBL022C_id001	chrII	177798	181408	-	3611	803
YBL023C_id001	chrII	174746	177643	-	2898	228
YBL024W_id001	chrII	172504	174868	+	2365	701
YBL025W_id002	chrII	171423	172503	+	1081	100
YBL026W_id001	chrII	170581	171530	+	950	474
YBL027W_id005	chrII	168404	169761	+	1358	18239
YBL028C_id001	chrII	167221	167885	-	665	1041
YBL029C-A_id001	chrII	164358	166047	-	1690	213
YBL030C_id009	chrII	162718	164145	-	1428	833
YBL031W_id001	chrII	161665	162887	+	1223	30
YBL032W_id003	chrII	160086	161535	+	1450	282
YBL033C_id001	chrII	158483	159721	-	1239	271
YBL034C_tx0	chrII	153723	158414	-	4692	39
YBL035C_id001	chrII	151364	153703	-	2340	6
YBL036C_id001	chrII	150310	152281	-	1972	397
YBL037W_tx0	chrII	147184	150411	+	3228	96
YBL038W_id001	chrII	146128	147061	+	934	176
YBL039C_id001	chrII	143726	145807	-	2082	72
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	87
YBL040C_id002	chrII	142012	143165	-	1154	512
YBL041W_id015	chrII	141010	142040	+	1031	1140
YBL042C_id005	chrII	138180	140319	-	2140	916
YBL043W_id003	chrII	136557	137655	+	1099	24
YBL045C_id003	chrII	133932	135777	-	1846	451
YBL046W_id001	chrII	132406	133937	+	1532	19
YBL047C_id001	chrII	127672	132169	-	4498	919
YBL049W_tx0	chrII	126803	127369	+	567	6
YBL050W_id001	chrII	125048	126230	+	1183	487
YBL051C_id004	chrII	122304	124824	-	2521	61
YBL052C_tx0	chrII	119254	121899	-	2646	447
YBL054W_id002	chrII	117412	119359	+	1948	528
YBL055C_id001	chrII	115477	117224	-	1748	285
YBL056W_id003	chrII	113626	115581	+	1956	1227
YBL057C_id002	chrII	112277	113442	-	1166	727
YBL058W_id001	chrII	111409	112864	+	1456	748
YBL059C-A_id004	chrII	109917	111201	-	1285	217
YBL060W_id001	chrII	107701	110033	+	2333	86
YBL061C_id001	chrII	105195	107514	-	2320	164
YBL063W_tx0	chrII	101861	105346	+	3486	16
YBL064C_id001	chrII	100306	101420	-	1115	432
YBL066C_tx0	chrII	96544	100140	-	3597	18
YBL067C_tx0	chrII	93514	95907	-	2394	131
YBL068W_id001	chrII	92356	93912	+	1557	582
YBL068W-A_id002	chrII	91120	92228	+	1109	0
YBL069W_id001	chrII	90631	92191	+	1561	0
YBL071C_id001	chrII	89856	90544	-	689	2
YBL071W-A_id001	chrII	89935	90746	+	812	352
YBL072C_id002	chrII	88246	89465	-	1220	11972
YBL074C_id001	chrII	86433	87808	-	1376	4
YBL075C_id001	chrII	84418	86984	-	2567	576
YBL076C_id002	chrII	80947	84307	-	3361	2022
YBL078C_id016	chrII	79897	80775	-	879	312
YBL079W_tx0	chrII	75234	79892	+	4659	597
YBL080C_id001	chrII	72946	74748	-	1803	64
YBL081W_id001	chrII	71317	73109	+	1793	973
YBL082C_id003	chrII	69715	71173	-	1459	0
YBL083C_id001	chrII	69698	71093	-	1396	158
YBL084C_tx0	chrII	67044	69470	-	2427	157
YBL085W_id001	chrII	63674	66938	+	3265	64
YBL086C_id001	chrII	61142	62726	-	1585	164
YBL087C_id001	chrII	59593	60845	-	1253	28608
YBL088C_tx0	chrII	50894	59407	-	8514	361
YBL089W_id004	chrII	49558	51234	+	1677	228
YBL090W_id003	chrII	48785	49577	+	793	416
YBL091C_id001	chrII	47010	48636	-	1627	1228
YBL091C-A_id001	chrII	46322	47185	-	864	105
YBL092W_id001	chrII	45281	46514	+	1234	14902
YBL093C_id002	chrII	43818	44998	-	1181	1115
YBL095W_id003	chrII	43277	44341	+	1065	114
YBL096C_id001	chrII	43132	44042	-	911	4
YBL097W_tx0	chrII	40806	43220	+	2415	29
YBL098W_tx0	chrII	39120	40652	+	1533	1
YBL099W_id002	chrII	36702	38982	+	2281	803
YBL101C_id001	chrII	24777	28406	-	3630	148
YBL102W_id001	chrII	23879	24938	+	1060	299
YBL103C_id001	chrII	21573	23790	-	2218	101
YBL104C_id001	chrII	18076	21318	-	3243	216
YBL105C_id002	chrII	14104	17962	-	3859	330
YBL106C_tx0	chrII	10722	13904	-	3183	327
YBL107C_id002	chrII	9730	10551	-	822	301
YBL108C-A_tx0	chrII	7480	7758	-	279	0
YBL111C_tx0	chrII	2782	5034	-	2253	0
YBR001C_id003	chrII	238783	241433	-	2651	189
