# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "1" "-t" "primary_transcript" "-g" "ID" "-a" "5dt_sample_longest_full_ORF_with_constructs.gff" "-o" "5dt_counts.txt" "5dt_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	5dt_aln.bam
pRPS3-mCherry-tRPS3_mod0_primary_transcript	pRPS3-mCherry-tRPS3_mod0	2099	3538	+	1440	9537
pRPS3-mCherry-tRPS3_mod0_URA3	pRPS3-mCherry-tRPS3_mod0	4376	5400	-	1025	7399
YAL001C_tx0	chrI	147469	151191	-	3723	150
YAL002W_tx0	chrI	143682	147656	+	3975	64
YAL003W_id003	chrI	142141	143496	+	1356	3220
YAL004W_id001	chrI	137649	142140	+	4492	2
YAL005C_id002	chrI	139381	141684	-	2304	1126
YAL007C_id002	chrI	137408	138414	-	1007	131
YAL008W_id005	chrI	136815	137718	+	904	103
YAL009W_id001	chrI	135408	136766	+	1359	105
YAL010C_id001	chrI	134001	135688	-	1688	45
YAL011W_id001	chrI	132169	134210	+	2042	113
YAL012W_id002	chrI	130686	132100	+	1415	1186
YAL013W_id001	chrI	129194	130583	+	1390	172
YAL014C_id001	chrI	128031	129072	-	1042	302
YAL015C_id001	chrI	126756	128110	-	1355	114
YAL016W_id001	chrI	124786	126883	+	2098	119
YAL017W_tx0	chrI	120200	124420	+	4221	129
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	210
YAL020C_id001	chrI	113468	114624	-	1157	167
YAL021C_id002	chrI	110536	113403	-	2868	263
YAL022C_id001	chrI	108732	110471	-	1740	134
YAL023C_id006	chrI	106143	108671	-	2529	236
YAL024C_tx0	chrI	101440	105897	-	4458	115
YAL025C_id001	chrI	99939	101168	-	1230	177
YAL026C_tx0	chrI	95505	99722	-	4218	189
YAL027W_id001	chrI	94595	95583	+	989	22
YAL028W_id005	chrI	92852	94566	+	1715	72
YAL029C_tx0	chrI	87730	92295	-	4566	196
YAL030W_id002	chrI	87264	88013	+	750	132
YAL031C_id003	chrI	84587	87031	-	2445	109
YAL032C_id008	chrI	83192	84504	-	1313	84
YAL033W_id003	chrI	82701	83397	+	697	108
YAL034C_id002	chrI	80549	82586	-	2038	349
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	45
YAL035W_id001	chrI	76365	79559	+	3195	2115
YAL036C_id004	chrI	74778	76207	-	1430	315
YAL037W_id001	chrI	73453	76400	+	2948	34
YAL038W_id004	chrI	71644	73448	+	1805	2969
YAL039C_id002	chrI	68629	69642	-	1014	345
YAL040C_id003	chrI	65596	67848	-	2253	478
YAL041W_id003	chrI	62773	65463	+	2691	133
YAL042W_id001	chrI	61269	62680	+	1412	371
YAL043C_id001	chrI	58499	61068	-	2570	98
YAL044C_id002	chrI	57756	58476	-	721	916
YAL044W-A_id004	chrI	56973	57958	+	986	185
YAL046C_id001	chrI	56907	57544	-	638	76
YAL047C_id001	chrI	54931	56886	-	1956	47
YAL047W-A_id001	chrI	54209	55063	+	855	2
YAL048C_tx0	chrI	52676	54814	-	2139	3
YAL049C_id001	chrI	51691	54082	-	2392	125
YAL051W_tx0	chrI	48539	51832	+	3294	32
YAL053W_id003	chrI	45728	48310	+	2583	102
YAL054C_tx0	chrI	42756	45047	-	2292	17
YAL055W_id003	chrI	42142	42838	+	697	61
YAL056W_id006	chrI	39234	42040	+	2807	177
YAL058W_id001	chrI	37405	39163	+	1759	57
YAL059W_id002	chrI	36466	37344	+	879	52
YAL060W_id014	chrI	35107	36433	+	1327	213
YAL061W_id003	chrI	33345	35018	+	1674	134
YAL062W_id001	chrI	31527	33039	+	1513	66
YAL063C_tx0	chrI	23875	27993	-	4119	14
YAL063C-A_id001	chrI	22051	23617	-	1567	6
YAL064W_tx0	chrI	21541	21975	+	435	0
YAL066W_id001	chrI	9807	10460	+	654	5
YAL067C_tx0	chrI	7110	9041	-	1932	3
YAL068C_tx0	chrI	1682	2194	-	513	1
YAR002C-A_id004	chrI	153808	154750	-	943	220
YAR002W_id001	chrI	152215	154114	+	1900	102
YAR003W_id001	chrI	154958	156909	+	1952	92
YAR007C_id002	chrI	156681	158698	-	2018	121
YAR008W_id002	chrI	158847	159916	+	1070	67
YAR014C_id002	chrI	166565	169019	-	2455	140
YAR015W_id003	chrI	169272	170638	+	1367	1276
YAR018C_id002	chrI	170177	171715	-	1539	90
YAR019C_tx0	chrI	172086	175160	-	3075	65
YAR020C_tx0	chrI	176731	177048	-	318	19
YAR023C_id001	chrI	179245	180697	-	1453	22
YAR027W_id001	chrI	183671	184687	+	1017	91
YAR028W_id001	chrI	184832	185977	+	1146	0
YAR029W_id001	chrI	185009	186754	+	1746	13
YAR031W_tx0	chrI	186811	187857	+	1047	45
YAR033W_id001	chrI	188043	189258	+	1216	170
YAR035W_id001	chrI	190156	192365	+	2210	27
YAR042W_id001	chrI	192583	196349	+	3767	346
YAR050W_tx0	chrI	203378	208141	+	4764	21
YAR053W_id001	chrI	208193	209632	+	1440	1
YAR071W_tx0	chrI	225435	226988	+	1554	20
YBL001C_id001	chrII	236907	237698	-	792	395
YBL002W_id001	chrII	235789	237079	+	1291	635
YBL003C_id004	chrII	234898	235856	-	959	977
YBL004W_tx0	chrII	227611	235242	+	7632	423
YBL005W_tx0	chrII	217445	220525	+	3081	39
YBL006C_id002	chrII	216354	217163	-	810	351
YBL006W-A_id001	chrII	216559	217416	+	858	3
YBL007C_id001	chrII	212467	216436	-	3970	494
YBL008W_id002	chrII	209587	212279	+	2693	52
YBL009W_id002	chrII	207141	209350	+	2210	100
YBL010C_id001	chrII	205803	207017	-	1215	61
YBL011W_id001	chrII	202814	206022	+	3209	248
YBL013W_tx0	chrII	202031	203386	+	1356	2
YBL014C_id003	chrII	198923	201777	-	2855	100
YBL015W_id001	chrII	193953	195980	+	2028	112
YBL016W_tx0	chrII	192426	193637	+	1212	317
YBL017C_tx0	chrII	186719	191608	-	4890	444
YBL018C_id005	chrII	185668	186507	-	840	19
YBL019W_id001	chrII	184283	186031	+	1749	54
YBL020W_id005	chrII	182322	184205	+	1884	28
YBL021C_id001	chrII	181490	182524	-	1035	64
YBL022C_id001	chrII	177798	181408	-	3611	244
YBL023C_id001	chrII	174746	177643	-	2898	57
YBL024W_id001	chrII	172504	174868	+	2365	341
YBL025W_id002	chrII	171423	172503	+	1081	57
YBL026W_id001	chrII	170581	171530	+	950	120
YBL027W_id005	chrII	168404	169761	+	1358	6144
YBL028C_id001	chrII	167221	167885	-	665	80
YBL029C-A_id001	chrII	164358	166047	-	1690	85
YBL030C_id009	chrII	162718	164145	-	1428	266
YBL031W_id001	chrII	161665	162887	+	1223	31
YBL032W_id003	chrII	160086	161535	+	1450	187
YBL033C_id001	chrII	158483	159721	-	1239	84
YBL034C_tx0	chrII	153723	158414	-	4692	74
YBL035C_id001	chrII	151364	153703	-	2340	5
YBL036C_id001	chrII	150310	152281	-	1972	198
YBL037W_tx0	chrII	147184	150411	+	3228	63
YBL038W_id001	chrII	146128	147061	+	934	80
YBL039C_id001	chrII	143726	145807	-	2082	2
YBL039C-A_id001	chrII	143808	145725	-	1918	0
