# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A11_sample_longest_full_ORF_with_constructs.gff" "-o" "A11_counts.txt" "A11_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A11_aln.bam
pTSA1-mCherry-tTSA1_modA_primary_transcript	pTSA1-mCherry-tTSA1_modA	2099	3316	+	1218	6303
pTSA1-mCherry-tTSA1_modA_URA3	pTSA1-mCherry-tTSA1_modA	4154	5178	-	1025	5870
YAL001C_tx0	chrI	147469	151191	-	3723	221
YAL002W_tx0	chrI	143682	147656	+	3975	49
YAL003W_id003	chrI	142141	143496	+	1356	6653
YAL004W_id001	chrI	137649	142140	+	4492	33
YAL005C_id002	chrI	139381	141684	-	2304	8954
YAL007C_id002	chrI	137408	138414	-	1007	437
YAL008W_id005	chrI	136815	137718	+	904	127
YAL009W_id001	chrI	135408	136766	+	1359	87
YAL010C_id001	chrI	134001	135688	-	1688	26
YAL011W_id001	chrI	132169	134210	+	2042	189
YAL012W_id002	chrI	130686	132100	+	1415	2310
YAL013W_id001	chrI	129194	130583	+	1390	149
YAL014C_id001	chrI	128031	129072	-	1042	137
YAL015C_id001	chrI	126756	128110	-	1355	66
YAL016W_id001	chrI	124786	126883	+	2098	264
YAL017W_tx0	chrI	120200	124420	+	4221	274
YAL018C_tx0	chrI	118439	119566	-	1128	2
YAL019W_tx0	chrI	114894	118439	+	3546	124
YAL020C_id001	chrI	113468	114624	-	1157	119
YAL021C_id002	chrI	110536	113403	-	2868	225
YAL022C_id001	chrI	108732	110471	-	1740	268
YAL023C_id006	chrI	106143	108671	-	2529	570
YAL024C_tx0	chrI	101440	105897	-	4458	18
YAL025C_id001	chrI	99939	101168	-	1230	341
YAL026C_tx0	chrI	95505	99722	-	4218	139
YAL027W_id001	chrI	94595	95583	+	989	57
YAL028W_id005	chrI	92852	94566	+	1715	21
YAL029C_tx0	chrI	87730	92295	-	4566	191
YAL030W_id002	chrI	87264	88013	+	750	573
YAL031C_id003	chrI	84587	87031	-	2445	81
YAL032C_id008	chrI	83192	84504	-	1313	46
YAL033W_id003	chrI	82701	83397	+	697	91
YAL034C_id002	chrI	80549	82586	-	2038	122
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	39
YAL035W_id001	chrI	76365	79559	+	3195	3261
YAL036C_id004	chrI	74778	76207	-	1430	769
YAL037W_id001	chrI	73453	76400	+	2948	22
YAL038W_id004	chrI	71644	73448	+	1805	19534
YAL039C_id002	chrI	68629	69642	-	1014	73
YAL040C_id003	chrI	65596	67848	-	2253	180
YAL041W_id003	chrI	62773	65463	+	2691	254
YAL042W_id001	chrI	61269	62680	+	1412	629
YAL043C_id001	chrI	58499	61068	-	2570	130
YAL044C_id002	chrI	57756	58476	-	721	979
YAL044W-A_id004	chrI	56973	57958	+	986	288
YAL046C_id001	chrI	56907	57544	-	638	372
YAL047C_id001	chrI	54931	56886	-	1956	50
YAL047W-A_id001	chrI	54209	55063	+	855	4
YAL048C_tx0	chrI	52676	54814	-	2139	1
YAL049C_id001	chrI	51691	54082	-	2392	216
YAL051W_tx0	chrI	48539	51832	+	3294	53
YAL053W_id003	chrI	45728	48310	+	2583	167
YAL054C_tx0	chrI	42756	45047	-	2292	82
YAL055W_id003	chrI	42142	42838	+	697	71
YAL056W_id006	chrI	39234	42040	+	2807	207
YAL058W_id001	chrI	37405	39163	+	1759	156
YAL059W_id002	chrI	36466	37344	+	879	340
YAL060W_id014	chrI	35107	36433	+	1327	703
YAL061W_id003	chrI	33345	35018	+	1674	64
YAL062W_id001	chrI	31527	33039	+	1513	39
YAL063C_tx0	chrI	23875	27993	-	4119	26
YAL063C-A_id001	chrI	22051	23617	-	1567	29
YAL064W_tx0	chrI	21541	21975	+	435	1
YAL066W_id001	chrI	9807	10460	+	654	13
YAL067C_tx0	chrI	7110	9041	-	1932	1
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	1539
YAR002W_id001	chrI	152215	154114	+	1900	342
YAR003W_id001	chrI	154958	156909	+	1952	115
