# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "B14_sample_longest_full_ORF_with_constructs.gff" "-o" "B14_counts.txt" "B14_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	B14_aln.bam
pPGK1-mCherry-tRPS3_modA_primary_transcript	pPGK1-mCherry-tRPS3_modA	2099	3538	+	1440	14459
pPGK1-mCherry-tRPS3_modA_URA3	pPGK1-mCherry-tRPS3_modA	4376	5400	-	1025	8533
YAL001C_tx0	chrI	147469	151191	-	3723	164
YAL002W_tx0	chrI	143682	147656	+	3975	47
YAL003W_id003	chrI	142141	143496	+	1356	2585
YAL004W_id001	chrI	137649	142140	+	4492	15
YAL005C_id002	chrI	139381	141684	-	2304	2915
YAL007C_id002	chrI	137408	138414	-	1007	185
YAL008W_id005	chrI	136815	137718	+	904	71
YAL009W_id001	chrI	135408	136766	+	1359	52
YAL010C_id001	chrI	134001	135688	-	1688	21
YAL011W_id001	chrI	132169	134210	+	2042	66
YAL012W_id002	chrI	130686	132100	+	1415	1118
YAL013W_id001	chrI	129194	130583	+	1390	88
YAL014C_id001	chrI	128031	129072	-	1042	60
YAL015C_id001	chrI	126756	128110	-	1355	43
YAL016W_id001	chrI	124786	126883	+	2098	147
YAL017W_tx0	chrI	120200	124420	+	4221	235
YAL018C_tx0	chrI	118439	119566	-	1128	1
YAL019W_tx0	chrI	114894	118439	+	3546	52
YAL020C_id001	chrI	113468	114624	-	1157	48
YAL021C_id002	chrI	110536	113403	-	2868	77
YAL022C_id001	chrI	108732	110471	-	1740	117
YAL023C_id006	chrI	106143	108671	-	2529	278
YAL024C_tx0	chrI	101440	105897	-	4458	14
YAL025C_id001	chrI	99939	101168	-	1230	92
YAL026C_tx0	chrI	95505	99722	-	4218	82
YAL027W_id001	chrI	94595	95583	+	989	32
YAL028W_id005	chrI	92852	94566	+	1715	25
YAL029C_tx0	chrI	87730	92295	-	4566	100
YAL030W_id002	chrI	87264	88013	+	750	273
YAL031C_id003	chrI	84587	87031	-	2445	83
YAL032C_id008	chrI	83192	84504	-	1313	30
YAL033W_id003	chrI	82701	83397	+	697	36
YAL034C_id002	chrI	80549	82586	-	2038	146
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	31
YAL035W_id001	chrI	76365	79559	+	3195	1682
YAL036C_id004	chrI	74778	76207	-	1430	346
YAL037W_id001	chrI	73453	76400	+	2948	11
YAL038W_id004	chrI	71644	73448	+	1805	3901
YAL039C_id002	chrI	68629	69642	-	1014	67
YAL040C_id003	chrI	65596	67848	-	2253	97
YAL041W_id003	chrI	62773	65463	+	2691	152
YAL042W_id001	chrI	61269	62680	+	1412	299
YAL043C_id001	chrI	58499	61068	-	2570	44
YAL044C_id002	chrI	57756	58476	-	721	446
YAL044W-A_id004	chrI	56973	57958	+	986	119
YAL046C_id001	chrI	56907	57544	-	638	133
YAL047C_id001	chrI	54931	56886	-	1956	19
YAL047W-A_id001	chrI	54209	55063	+	855	5
YAL048C_tx0	chrI	52676	54814	-	2139	1
YAL049C_id001	chrI	51691	54082	-	2392	94
YAL051W_tx0	chrI	48539	51832	+	3294	43
YAL053W_id003	chrI	45728	48310	+	2583	87
YAL054C_tx0	chrI	42756	45047	-	2292	46
YAL055W_id003	chrI	42142	42838	+	697	73
YAL056W_id006	chrI	39234	42040	+	2807	126
YAL058W_id001	chrI	37405	39163	+	1759	49
YAL059W_id002	chrI	36466	37344	+	879	101
YAL060W_id014	chrI	35107	36433	+	1327	653
YAL061W_id003	chrI	33345	35018	+	1674	172
YAL062W_id001	chrI	31527	33039	+	1513	20
YAL063C_tx0	chrI	23875	27993	-	4119	9
YAL063C-A_id001	chrI	22051	23617	-	1567	4
YAL064W_tx0	chrI	21541	21975	+	435	3
YAL066W_id001	chrI	9807	10460	+	654	5
YAL067C_tx0	chrI	7110	9041	-	1932	3
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	510
YAR002W_id001	chrI	152215	154114	+	1900	170
YAR003W_id001	chrI	154958	156909	+	1952	52
YAR007C_id002	chrI	156681	158698	-	2018	152
YAR008W_id002	chrI	158847	159916	+	1070	73
YAR014C_id002	chrI	166565	169019	-	2455	69
YAR015W_id003	chrI	169272	170638	+	1367	373
YAR018C_id002	chrI	170177	171715	-	1539	30
YAR019C_tx0	chrI	172086	175160	-	3075	23
YAR020C_tx0	chrI	176731	177048	-	318	3
YAR023C_id001	chrI	179245	180697	-	1453	10
YAR027W_id001	chrI	183671	184687	+	1017	192
YAR028W_id001	chrI	184832	185977	+	1146	0
YAR029W_id001	chrI	185009	186754	+	1746	16
YAR031W_tx0	chrI	186811	187857	+	1047	10
YAR033W_id001	chrI	188043	189258	+	1216	15
YAR035W_id001	chrI	190156	192365	+	2210	11
YAR042W_id001	chrI	192583	196349	+	3767	101
YAR050W_tx0	chrI	203378	208141	+	4764	24
YAR053W_id001	chrI	208193	209632	+	1440	7
YAR071W_tx0	chrI	225435	226988	+	1554	21
YBL001C_id001	chrII	236907	237698	-	792	502
YBL002W_id001	chrII	235789	237079	+	1291	1272
YBL003C_id004	chrII	234898	235856	-	959	2168
YBL004W_tx0	chrII	227611	235242	+	7632	273
YBL005W_tx0	chrII	217445	220525	+	3081	9
YBL006C_id002	chrII	216354	217163	-	810	41
YBL006W-A_id001	chrII	216559	217416	+	858	4
YBL007C_id001	chrII	212467	216436	-	3970	414
YBL008W_id002	chrII	209587	212279	+	2693	87
YBL009W_id002	chrII	207141	209350	+	2210	41
YBL010C_id001	chrII	205803	207017	-	1215	17
YBL011W_id001	chrII	202814	206022	+	3209	220
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	81
YBL015W_id001	chrII	193953	195980	+	2028	172
YBL016W_tx0	chrII	192426	193637	+	1212	37
YBL017C_tx0	chrII	186719	191608	-	4890	190
YBL018C_id005	chrII	185668	186507	-	840	35
YBL019W_id001	chrII	184283	186031	+	1749	37
YBL020W_id005	chrII	182322	184205	+	1884	58
YBL021C_id001	chrII	181490	182524	-	1035	87
YBL022C_id001	chrII	177798	181408	-	3611	272
YBL023C_id001	chrII	174746	177643	-	2898	69
YBL024W_id001	chrII	172504	174868	+	2365	228
YBL025W_id002	chrII	171423	172503	+	1081	24
YBL026W_id001	chrII	170581	171530	+	950	157
YBL027W_id005	chrII	168404	169761	+	1358	3762
YBL028C_id001	chrII	167221	167885	-	665	164
YBL029C-A_id001	chrII	164358	166047	-	1690	113
YBL030C_id009	chrII	162718	164145	-	1428	578
YBL031W_id001	chrII	161665	162887	+	1223	9
YBL032W_id003	chrII	160086	161535	+	1450	142
YBL033C_id001	chrII	158483	159721	-	1239	74
YBL034C_tx0	chrII	153723	158414	-	4692	13
YBL035C_id001	chrII	151364	153703	-	2340	3
YBL036C_id001	chrII	150310	152281	-	1972	58
YBL037W_tx0	chrII	147184	150411	+	3228	37
YBL038W_id001	chrII	146128	147061	+	934	63
YBL039C_id001	chrII	143726	145807	-	2082	6
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	65
YBL040C_id002	chrII	142012	143165	-	1154	154
YBL041W_id015	chrII	141010	142040	+	1031	265
YBL042C_id005	chrII	138180	140319	-	2140	188
YBL043W_id003	chrII	136557	137655	+	1099	6
YBL045C_id003	chrII	133932	135777	-	1846	283
YBL046W_id001	chrII	132406	133937	+	1532	24
YBL047C_id001	chrII	127672	132169	-	4498	395
YBL049W_tx0	chrII	126803	127369	+	567	8
YBL050W_id001	chrII	125048	126230	+	1183	201
YBL051C_id004	chrII	122304	124824	-	2521	70
YBL052C_tx0	chrII	119254	121899	-	2646	115
YBL054W_id002	chrII	117412	119359	+	1948	61
YBL055C_id001	chrII	115477	117224	-	1748	43
YBL056W_id003	chrII	113626	115581	+	1956	483
YBL057C_id002	chrII	112277	113442	-	1166	197
YBL058W_id001	chrII	111409	112864	+	1456	204
YBL059C-A_id004	chrII	109917	111201	-	1285	61
YBL060W_id001	chrII	107701	110033	+	2333	29
YBL061C_id001	chrII	105195	107514	-	2320	81
YBL063W_tx0	chrII	101861	105346	+	3486	9
YBL064C_id001	chrII	100306	101420	-	1115	161
YBL066C_tx0	chrII	96544	100140	-	3597	9
YBL067C_tx0	chrII	93514	95907	-	2394	80
YBL068W_id001	chrII	92356	93912	+	1557	93
YBL068W-A_id002	chrII	91120	92228	+	1109	0
YBL069W_id001	chrII	90631	92191	+	1561	0
YBL071C_id001	chrII	89856	90544	-	689	0
YBL071W-A_id001	chrII	89935	90746	+	812	34
YBL072C_id002	chrII	88246	89465	-	1220	3256
YBL074C_id001	chrII	86433	87808	-	1376	0
YBL075C_id001	chrII	84418	86984	-	2567	89
YBL076C_id002	chrII	80947	84307	-	3361	737
YBL078C_id016	chrII	79897	80775	-	879	260
YBL079W_tx0	chrII	75234	79892	+	4659	165
YBL080C_id001	chrII	72946	74748	-	1803	19
YBL081W_id001	chrII	71317	73109	+	1793	129
YBL082C_id003	chrII	69715	71173	-	1459	0
YBL083C_id001	chrII	69698	71093	-	1396	1
YBL084C_tx0	chrII	67044	69470	-	2427	33
YBL085W_id001	chrII	63674	66938	+	3265	40
YBL086C_id001	chrII	61142	62726	-	1585	54
YBL087C_id001	chrII	59593	60845	-	1253	6737
YBL088C_tx0	chrII	50894	59407	-	8514	96
YBL089W_id004	chrII	49558	51234	+	1677	39
YBL090W_id003	chrII	48785	49577	+	793	108
YBL091C_id001	chrII	47010	48636	-	1627	511
YBL091C-A_id001	chrII	46322	47185	-	864	49
YBL092W_id001	chrII	45281	46514	+	1234	4329
YBL093C_id002	chrII	43818	44998	-	1181	161
YBL095W_id003	chrII	43277	44341	+	1065	48
YBL096C_id001	chrII	43132	44042	-	911	8
YBL097W_tx0	chrII	40806	43220	+	2415	25
YBL098W_tx0	chrII	39120	40652	+	1533	4
YBL099W_id002	chrII	36702	38982	+	2281	1705
YBL101C_id001	chrII	24777	28406	-	3630	76
YBL102W_id001	chrII	23879	24938	+	1060	118
YBL103C_id001	chrII	21573	23790	-	2218	53
YBL104C_id001	chrII	18076	21318	-	3243	80
YBL105C_id002	chrII	14104	17962	-	3859	89
YBL106C_tx0	chrII	10722	13904	-	3183	26
YBL107C_id002	chrII	9730	10551	-	822	74
YBL108C-A_tx0	chrII	7480	7758	-	279	0
YBL111C_tx0	chrII	2782	5034	-	2253	0
YBR001C_id003	chrII	238783	241433	-	2651	93
YBR002C_id002	chrII	241456	242584	-	1129	48
YBR003W_id007	chrII	242780	244364	+	1585	136
YBR004C_id001	chrII	244272	246715	-	2444	72
YBR005W_id004	chrII	245842	246920	+	1079	59
YBR006W_id002	chrII	246879	248649	+	1771	59
YBR007C_id001	chrII	248623	251106	-	2484	35
YBR008C_id005	chrII	252403	254835	-	2433	50
YBR009C_id002	chrII	255209	256209	-	1001	2583
YBR010W_id001	chrII	256303	257098	+	796	1038
YBR011C_id002	chrII	256892	258006	-	1115	2568
YBR012C_id001	chrII	258941	259571	-	631	17
YBR014C_id008	chrII	266601	267515	-	915	81
YBR015C_id002	chrII	267569	269912	-	2344	495
YBR016W_id001	chrII	269749	270846	+	1098	249
YBR017C_id002	chrII	270760	273772	-	3013	219
YBR018C_tx0	chrII	274302	275552	-	1251	0
YBR019C_tx0	chrII	276128	278377	-	2250	8
YBR020W_tx0	chrII	278996	280732	+	1737	11
YBR021W_id011	chrII	281307	283531	+	2225	65
YBR022W_id002	chrII	283490	284400	+	911	37
YBR023C_id001	chrII	284226	288054	-	3829	286
YBR024W_id004	chrII	289106	290455	+	1350	118
YBR025C_id001	chrII	289931	291896	-	1966	3394
YBR026C_id006	chrII	292747	294102	-	1356	146
YBR028C_id007	chrII	294249	296062	-	1814	91
YBR029C_id003	chrII	296227	297853	-	1627	45
YBR030W_id001	chrII	298020	300071	+	2052	25
YBR031W_id001	chrII	300145	301451	+	1307	2691
YBR034C_id001	chrII	304383	306037	-	1655	224
YBR035C_id001	chrII	306136	307334	-	1199	305
YBR036C_id001	chrII	308745	310355	-	1611	171
