# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "WD_C13_sample_longest_full_ORF_with_constructs.gff" "-o" "WD_C13_counts.txt" "WD_C13_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	WD_C13_aln.bam
pHSP26-mCherry-tHSP26_primary_transcript	pHSP26-mCherry-tHSP26	2099	3511	+	1413	855
pHSP26-mCherry-tHSP26_URA3	pHSP26-mCherry-tHSP26	4349	5373	-	1025	10465
YAL001C_tx0	chrI	147469	151191	-	3723	213
YAL002W_tx0	chrI	143682	147656	+	3975	118
YAL003W_id003	chrI	142141	143496	+	1356	9265
YAL004W_id001	chrI	137649	142140	+	4492	20
YAL005C_id002	chrI	139381	141684	-	2304	4987
YAL007C_id002	chrI	137408	138414	-	1007	322
YAL008W_id005	chrI	136815	137718	+	904	150
YAL009W_id001	chrI	135408	136766	+	1359	176
YAL010C_id001	chrI	134001	135688	-	1688	66
YAL011W_id001	chrI	132169	134210	+	2042	226
YAL012W_id002	chrI	130686	132100	+	1415	4561
YAL013W_id001	chrI	129194	130583	+	1390	220
YAL014C_id001	chrI	128031	129072	-	1042	256
YAL015C_id001	chrI	126756	128110	-	1355	164
YAL016W_id001	chrI	124786	126883	+	2098	343
YAL017W_tx0	chrI	120200	124420	+	4221	645
YAL018C_tx0	chrI	118439	119566	-	1128	1
YAL019W_tx0	chrI	114894	118439	+	3546	84
YAL020C_id001	chrI	113468	114624	-	1157	403
YAL021C_id002	chrI	110536	113403	-	2868	536
YAL022C_id001	chrI	108732	110471	-	1740	999
YAL023C_id006	chrI	106143	108671	-	2529	1214
YAL024C_tx0	chrI	101440	105897	-	4458	28
YAL025C_id001	chrI	99939	101168	-	1230	859
YAL026C_tx0	chrI	95505	99722	-	4218	173
YAL027W_id001	chrI	94595	95583	+	989	86
YAL028W_id005	chrI	92852	94566	+	1715	66
YAL029C_tx0	chrI	87730	92295	-	4566	247
YAL030W_id002	chrI	87264	88013	+	750	747
YAL031C_id003	chrI	84587	87031	-	2445	172
YAL032C_id008	chrI	83192	84504	-	1313	93
YAL033W_id003	chrI	82701	83397	+	697	169
YAL034C_id002	chrI	80549	82586	-	2038	408
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	47
YAL035W_id001	chrI	76365	79559	+	3195	4393
YAL036C_id004	chrI	74778	76207	-	1430	641
YAL037W_id001	chrI	73453	76400	+	2948	63
YAL038W_id004	chrI	71644	73448	+	1805	13199
YAL039C_id002	chrI	68629	69642	-	1014	291
YAL040C_id003	chrI	65596	67848	-	2253	177
YAL041W_id003	chrI	62773	65463	+	2691	474
YAL042W_id001	chrI	61269	62680	+	1412	1863
YAL043C_id001	chrI	58499	61068	-	2570	222
YAL044C_id002	chrI	57756	58476	-	721	3442
YAL044W-A_id004	chrI	56973	57958	+	986	506
YAL046C_id001	chrI	56907	57544	-	638	780
YAL047C_id001	chrI	54931	56886	-	1956	60
YAL047W-A_id001	chrI	54209	55063	+	855	1
YAL048C_tx0	chrI	52676	54814	-	2139	0
YAL049C_id001	chrI	51691	54082	-	2392	546
YAL051W_tx0	chrI	48539	51832	+	3294	79
YAL053W_id003	chrI	45728	48310	+	2583	613
YAL054C_tx0	chrI	42756	45047	-	2292	125
YAL055W_id003	chrI	42142	42838	+	697	135
YAL056W_id006	chrI	39234	42040	+	2807	505
YAL058W_id001	chrI	37405	39163	+	1759	224
YAL059W_id002	chrI	36466	37344	+	879	546
YAL060W_id014	chrI	35107	36433	+	1327	1032
YAL061W_id003	chrI	33345	35018	+	1674	67
YAL062W_id001	chrI	31527	33039	+	1513	151
YAL063C_tx0	chrI	23875	27993	-	4119	45
YAL063C-A_id001	chrI	22051	23617	-	1567	19
YAL064W_tx0	chrI	21541	21975	+	435	5
YAL066W_id001	chrI	9807	10460	+	654	37
YAL067C_tx0	chrI	7110	9041	-	1932	11
YAL068C_tx0	chrI	1682	2194	-	513	0
YAR002C-A_id004	chrI	153808	154750	-	943	1410
YAR002W_id001	chrI	152215	154114	+	1900	707
YAR003W_id001	chrI	154958	156909	+	1952	193
YAR007C_id002	chrI	156681	158698	-	2018	350
YAR008W_id002	chrI	158847	159916	+	1070	369
YAR014C_id002	chrI	166565	169019	-	2455	264
YAR015W_id003	chrI	169272	170638	+	1367	1144
YAR018C_id002	chrI	170177	171715	-	1539	234
YAR019C_tx0	chrI	172086	175160	-	3075	109
YAR020C_tx0	chrI	176731	177048	-	318	2
YAR023C_id001	chrI	179245	180697	-	1453	18
YAR027W_id001	chrI	183671	184687	+	1017	505
YAR028W_id001	chrI	184832	185977	+	1146	0
YAR029W_id001	chrI	185009	186754	+	1746	74
YAR031W_tx0	chrI	186811	187857	+	1047	111
YAR033W_id001	chrI	188043	189258	+	1216	63
YAR035W_id001	chrI	190156	192365	+	2210	109
YAR042W_id001	chrI	192583	196349	+	3767	166
YAR050W_tx0	chrI	203378	208141	+	4764	94
YAR053W_id001	chrI	208193	209632	+	1440	18
YAR071W_tx0	chrI	225435	226988	+	1554	178
YBL001C_id001	chrII	236907	237698	-	792	1843
YBL002W_id001	chrII	235789	237079	+	1291	3011
YBL003C_id004	chrII	234898	235856	-	959	5051
YBL004W_tx0	chrII	227611	235242	+	7632	770
YBL005W_tx0	chrII	217445	220525	+	3081	52
YBL006C_id002	chrII	216354	217163	-	810	316
YBL006W-A_id001	chrII	216559	217416	+	858	7
YBL007C_id001	chrII	212467	216436	-	3970	1042
YBL008W_id002	chrII	209587	212279	+	2693	420
YBL009W_id002	chrII	207141	209350	+	2210	150
YBL010C_id001	chrII	205803	207017	-	1215	59
YBL011W_id001	chrII	202814	206022	+	3209	1293
YBL013W_tx0	chrII	202031	203386	+	1356	0
YBL014C_id003	chrII	198923	201777	-	2855	515
YBL015W_id001	chrII	193953	195980	+	2028	144
YBL016W_tx0	chrII	192426	193637	+	1212	234
YBL017C_tx0	chrII	186719	191608	-	4890	595
YBL018C_id005	chrII	185668	186507	-	840	136
YBL019W_id001	chrII	184283	186031	+	1749	180
YBL020W_id005	chrII	182322	184205	+	1884	174
YBL021C_id001	chrII	181490	182524	-	1035	539
YBL022C_id001	chrII	177798	181408	-	3611	830
YBL023C_id001	chrII	174746	177643	-	2898	335
YBL024W_id001	chrII	172504	174868	+	2365	555
YBL025W_id002	chrII	171423	172503	+	1081	67
YBL026W_id001	chrII	170581	171530	+	950	326
YBL027W_id005	chrII	168404	169761	+	1358	16208
YBL028C_id001	chrII	167221	167885	-	665	1002
YBL029C-A_id001	chrII	164358	166047	-	1690	206
YBL030C_id009	chrII	162718	164145	-	1428	918
YBL031W_id001	chrII	161665	162887	+	1223	13
YBL032W_id003	chrII	160086	161535	+	1450	363
YBL033C_id001	chrII	158483	159721	-	1239	199
YBL034C_tx0	chrII	153723	158414	-	4692	44
YBL035C_id001	chrII	151364	153703	-	2340	11
YBL036C_id001	chrII	150310	152281	-	1972	491
YBL037W_tx0	chrII	147184	150411	+	3228	85
YBL038W_id001	chrII	146128	147061	+	934	196
YBL039C_id001	chrII	143726	145807	-	2082	63
YBL039C-A_id001	chrII	143808	145725	-	1918	0
YBL039W-B_id001	chrII	143099	143749	+	651	115
YBL040C_id002	chrII	142012	143165	-	1154	588
YBL041W_id015	chrII	141010	142040	+	1031	889
YBL042C_id005	chrII	138180	140319	-	2140	892
YBL043W_id003	chrII	136557	137655	+	1099	25
YBL045C_id003	chrII	133932	135777	-	1846	423
YBL046W_id001	chrII	132406	133937	+	1532	28
YBL047C_id001	chrII	127672	132169	-	4498	959
YBL049W_tx0	chrII	126803	127369	+	567	30
YBL050W_id001	chrII	125048	126230	+	1183	510
YBL051C_id004	chrII	122304	124824	-	2521	54
YBL052C_tx0	chrII	119254	121899	-	2646	321
YBL054W_id002	chrII	117412	119359	+	1948	562
