# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A13_sample_longest_full_ORF_with_constructs.gff" "-o" "A13_counts.txt" "A13_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A13_aln.bam
pPGK1-mCherry-tRPS3_mod0_primary_transcript	pPGK1-mCherry-tRPS3_mod0	2099	3538	+	1440	13879
pPGK1-mCherry-tRPS3_mod0_URA3	pPGK1-mCherry-tRPS3_mod0	4376	5400	-	1025	9941
YAL001C_tx0	chrI	147469	151191	-	3723	184
YAL002W_tx0	chrI	143682	147656	+	3975	35
YAL003W_id003	chrI	142141	143496	+	1356	2084
YAL004W_id001	chrI	137649	142140	+	4492	7
YAL005C_id002	chrI	139381	141684	-	2304	1571
YAL007C_id002	chrI	137408	138414	-	1007	164
YAL008W_id005	chrI	136815	137718	+	904	66
YAL009W_id001	chrI	135408	136766	+	1359	46
YAL010C_id001	chrI	134001	135688	-	1688	21
YAL011W_id001	chrI	132169	134210	+	2042	77
YAL012W_id002	chrI	130686	132100	+	1415	916
YAL013W_id001	chrI	129194	130583	+	1390	78
YAL014C_id001	chrI	128031	129072	-	1042	55
YAL015C_id001	chrI	126756	128110	-	1355	38
YAL016W_id001	chrI	124786	126883	+	2098	156
YAL017W_tx0	chrI	120200	124420	+	4221	257
YAL018C_tx0	chrI	118439	119566	-	1128	0
YAL019W_tx0	chrI	114894	118439	+	3546	58
YAL020C_id001	chrI	113468	114624	-	1157	55
YAL021C_id002	chrI	110536	113403	-	2868	74
YAL022C_id001	chrI	108732	110471	-	1740	120
YAL023C_id006	chrI	106143	108671	-	2529	258
YAL024C_tx0	chrI	101440	105897	-	4458	10
YAL025C_id001	chrI	99939	101168	-	1230	55
YAL026C_tx0	chrI	95505	99722	-	4218	82
YAL027W_id001	chrI	94595	95583	+	989	52
YAL028W_id005	chrI	92852	94566	+	1715	37
YAL029C_tx0	chrI	87730	92295	-	4566	95
YAL030W_id002	chrI	87264	88013	+	750	251
YAL031C_id003	chrI	84587	87031	-	2445	64
YAL032C_id008	chrI	83192	84504	-	1313	20
YAL033W_id003	chrI	82701	83397	+	697	43
YAL034C_id002	chrI	80549	82586	-	2038	185
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	23
YAL035W_id001	chrI	76365	79559	+	3195	1650
YAL036C_id004	chrI	74778	76207	-	1430	217
YAL037W_id001	chrI	73453	76400	+	2948	20
YAL038W_id004	chrI	71644	73448	+	1805	2483
YAL039C_id002	chrI	68629	69642	-	1014	70
YAL040C_id003	chrI	65596	67848	-	2253	83
YAL041W_id003	chrI	62773	65463	+	2691	171
YAL042W_id001	chrI	61269	62680	+	1412	217
YAL043C_id001	chrI	58499	61068	-	2570	31
YAL044C_id002	chrI	57756	58476	-	721	516
YAL044W-A_id004	chrI	56973	57958	+	986	103
YAL046C_id001	chrI	56907	57544	-	638	76
YAL047C_id001	chrI	54931	56886	-	1956	17
YAL047W-A_id001	chrI	54209	55063	+	855	4
YAL048C_tx0	chrI	52676	54814	-	2139	1
YAL049C_id001	chrI	51691	54082	-	2392	72
YAL051W_tx0	chrI	48539	51832	+	3294	42
YAL053W_id003	chrI	45728	48310	+	2583	110
YAL054C_tx0	chrI	42756	45047	-	2292	21
YAL055W_id003	chrI	42142	42838	+	697	74
YAL056W_id006	chrI	39234	42040	+	2807	121
YAL058W_id001	chrI	37405	39163	+	1759	38
YAL059W_id002	chrI	36466	37344	+	879	46
YAL060W_id014	chrI	35107	36433	+	1327	780
YAL061W_id003	chrI	33345	35018	+	1674	184
YAL062W_id001	chrI	31527	33039	+	1513	26
YAL063C_tx0	chrI	23875	27993	-	4119	9
