# Program:featureCounts v2.0.0; Command:"featureCounts" "-p" "-T" "4" "-s" "2" "-t" "primary_transcript" "-g" "ID" "-a" "A4_sample_longest_full_ORF_with_constructs.gff" "-o" "A4_counts.txt" "A4_aln.bam" "-R" "BAM" 
Geneid	Chr	Start	End	Strand	Length	A4_aln.bam
pRPS3-mCherry-tRPS3_modE_primary_transcript	pRPS3-mCherry-tRPS3_modE	2099	3538	+	1440	3284
pRPS3-mCherry-tRPS3_modE_URA3	pRPS3-mCherry-tRPS3_modE	4376	5400	-	1025	9908
YAL001C_tx0	chrI	147469	151191	-	3723	219
YAL002W_tx0	chrI	143682	147656	+	3975	57
YAL003W_id003	chrI	142141	143496	+	1356	2737
YAL004W_id001	chrI	137649	142140	+	4492	17
YAL005C_id002	chrI	139381	141684	-	2304	5130
YAL007C_id002	chrI	137408	138414	-	1007	245
YAL008W_id005	chrI	136815	137718	+	904	101
YAL009W_id001	chrI	135408	136766	+	1359	68
YAL010C_id001	chrI	134001	135688	-	1688	12
YAL011W_id001	chrI	132169	134210	+	2042	92
YAL012W_id002	chrI	130686	132100	+	1415	1539
YAL013W_id001	chrI	129194	130583	+	1390	109
YAL014C_id001	chrI	128031	129072	-	1042	74
YAL015C_id001	chrI	126756	128110	-	1355	55
YAL016W_id001	chrI	124786	126883	+	2098	201
YAL017W_tx0	chrI	120200	124420	+	4221	327
YAL018C_tx0	chrI	118439	119566	-	1128	1
YAL019W_tx0	chrI	114894	118439	+	3546	78
YAL020C_id001	chrI	113468	114624	-	1157	59
YAL021C_id002	chrI	110536	113403	-	2868	105
YAL022C_id001	chrI	108732	110471	-	1740	143
YAL023C_id006	chrI	106143	108671	-	2529	334
YAL024C_tx0	chrI	101440	105897	-	4458	15
YAL025C_id001	chrI	99939	101168	-	1230	107
YAL026C_tx0	chrI	95505	99722	-	4218	120
YAL027W_id001	chrI	94595	95583	+	989	33
YAL028W_id005	chrI	92852	94566	+	1715	47
YAL029C_tx0	chrI	87730	92295	-	4566	115
YAL030W_id002	chrI	87264	88013	+	750	351
YAL031C_id003	chrI	84587	87031	-	2445	78
YAL032C_id008	chrI	83192	84504	-	1313	38
YAL033W_id003	chrI	82701	83397	+	697	44
YAL034C_id002	chrI	80549	82586	-	2038	182
YAL034C-B_id001	chrI	79446	79873	-	428	0
YAL034W-A_id001	chrI	79674	80744	+	1071	15
YAL035W_id001	chrI	76365	79559	+	3195	2031
YAL036C_id004	chrI	74778	76207	-	1430	323
